,Est,time,max_d,mean_d,triangles
377,0.0001,9527,4,4.0,50.0
378,0.0001,24408,4,4.0,50.0
379,0.9999,5681,4,4.0,50.0
380,0.0001,4917,4,4.0,50.0
381,0.0001,3954,4,4.0,50.0
382,0.9999,22815,4,4.0,50.0
383,0.9999,4349,4,4.0,50.0
384,0.0,12087,4,4.0,50.0
385,1.0,7229,4,4.0,50.0
386,0.9999,9821,4,4.0,50.0
387,1.0,6925,4,4.0,50.0
388,0.0001,16982,4,4.0,50.0
389,1.0,6367,4,4.0,50.0
390,0.9999,2748,4,4.0,50.0
391,0.0001,5453,4,4.0,50.0
392,1.0,9127,4,4.0,50.0
393,0.0,10558,4,4.0,50.0
394,0.0001,4680,4,4.0,50.0
395,0.0,2254,4,4.0,50.0
396,1.0,1777,4,4.0,50.0
397,0.9999,22686,4,4.0,50.0
398,1.0,10554,4,4.0,50.0
399,0.0001,4084,4,4.0,50.0
400,1.0,4366,4,4.0,50.0
401,1.0,6714,4,4.0,50.0
402,0.9999,3741,4,4.0,50.0
403,0.0001,8359,4,4.0,50.0
404,0.0,7146,4,4.0,50.0
405,0.0001,9347,4,4.0,50.0
406,0.0001,11308,4,4.0,50.0
407,1.0,19619,4,4.0,50.0
408,0.0001,2056,4,4.0,50.0
409,0.9999,7389,4,4.0,50.0
410,0.9999,5352,4,4.0,50.0
411,0.0001,8892,4,4.0,50.0
412,0.0001,21068,4,4.0,50.0
413,0.0,6516,4,4.0,50.0
414,1.0,5336,4,4.0,50.0
415,0.9999,5009,4,4.0,50.0
416,1.0,7853,4,4.0,50.0
417,0.9999,5726,4,4.0,50.0
418,0.0,5941,4,4.0,50.0
419,0.0,20583,4,4.0,50.0
420,1.0,9175,4,4.0,50.0
421,1.0,5361,4,4.0,50.0
422,0.9999,10084,4,4.0,50.0
423,0.0001,3620,4,4.0,50.0
424,0.0001,22843,4,4.0,50.0
425,0.9999,22069,4,4.0,50.0
426,0.9999,10966,4,4.0,50.0
427,0.0,7545,4,4.0,50.0
428,0.0,14203,4,4.0,50.0
429,0.9999,6253,4,4.0,50.0
430,0.9999,11044,4,4.0,50.0
431,0.0,22958,4,4.0,50.0
432,0.0001,5609,4,4.0,50.0
433,0.0,12050,4,4.0,50.0
434,1.0,6615,4,4.0,50.0
435,0.9999,2641,4,4.0,50.0
436,0.9999,3046,4,4.0,50.0
437,1.0,8270,4,4.0,50.0
438,1.0,13930,4,4.0,50.0
439,0.9999,5107,4,4.0,50.0
440,0.0,2959,4,4.0,50.0
441,0.0001,7861,4,4.0,50.0
442,0.9999,6807,4,4.0,50.0
443,0.0001,9583,4,4.0,50.0
444,0.9999,9778,4,4.0,50.0
445,0.0,7058,4,4.0,50.0
446,1.0,19355,4,4.0,50.0
447,0.9999,9058,4,4.0,50.0
448,0.0001,4926,4,4.0,50.0
449,1.0,5394,4,4.0,50.0
450,0.0001,13768,4,4.0,50.0
451,0.9999,11674,4,4.0,50.0
452,1.0,18433,4,4.0,50.0
453,0.9998,7010,4,4.0,50.0
454,0.0001,5538,4,4.0,50.0
455,1.0,3634,4,4.0,50.0
456,0.9999,7443,4,4.0,50.0
457,0.0001,9213,4,4.0,50.0
458,0.0,7443,4,4.0,50.0
459,0.9999,22975,4,4.0,50.0
460,1.0,28852,4,4.0,50.0
461,1.0,3869,4,4.0,50.0
462,0.9999,6259,4,4.0,50.0
463,1.0,9440,4,4.0,50.0
464,0.0001,1864,4,4.0,50.0
465,0.0001,15814,4,4.0,50.0
466,0.0001,3788,4,4.0,50.0
467,0.9999,4640,4,4.0,50.0
468,1.0,5089,4,4.0,50.0
469,1.0,9413,4,4.0,50.0
470,0.0,22185,4,4.0,50.0
471,0.0001,8981,4,4.0,50.0
472,0.0,6379,4,4.0,50.0
473,0.0,7613,4,4.0,50.0
474,1.0,3267,4,4.0,50.0
475,0.0,1731,4,4.0,50.0
476,0.0001,11030,4,4.0,50.0
477,1.0,14686,4,4.0,50.0
478,0.0001,5442,4,4.0,50.0
479,0.9999,5619,4,4.0,50.0
480,1.0,10183,4,4.0,50.0
481,0.0001,7258,4,4.0,50.0
482,0.0001,1747,4,4.0,50.0
483,0.0001,2463,4,4.0,50.0
484,0.9999,14496,4,4.0,50.0
485,0.0,13582,4,4.0,50.0
486,0.0,3707,4,4.0,50.0
487,1.0,3444,4,4.0,50.0
488,1.0,12321,4,4.0,50.0
489,0.0001,29049,4,4.0,50.0
490,0.0,3874,4,4.0,50.0
491,1.0,10229,4,4.0,50.0
492,1.0,15472,4,4.0,50.0
493,1.0,8364,4,4.0,50.0
494,0.0,4067,4,4.0,50.0
495,0.0,5307,4,4.0,50.0
496,0.9999,2921,4,4.0,50.0
497,1.0,2704,4,4.0,50.0
498,0.0001,8278,4,4.0,50.0
499,1.0,1614,4,4.0,50.0
